occupation,avg_annual_growth,2019,2023,growth_2019_2023
Cutting workers,-1.6666666666666667,60.0,56.0,-6.666666666666667
Firefighters,-1.729559748427673,318.0,296.0,-6.918238993710692
Secondary school teachers,-1.748768472906404,1015.0,944.0,-6.995073891625616
"Information and record clerks, all other",-1.7676767676767675,99.0,92.0,-7.07070707070707
Print binding and finishing workers,-1.7857142857142856,14.0,13.0,-7.142857142857142
Receptionists and information clerks,-1.7857142857142856,1288.0,1196.0,-7.142857142857142
Avionics technicians,-1.9230769230769231,13.0,12.0,-7.6923076923076925
Cabinetmakers and bench carpenters,-1.9230769230769231,65.0,60.0,-7.6923076923076925
Railroad conductors and yardmasters,-1.9230769230769231,52.0,48.0,-7.6923076923076925
Computer hardware engineers,-1.948051948051948,77.0,71.0,-7.792207792207792
First-line supervisors of production and operating workers,-2.014218009478673,844.0,776.0,-8.056872037914692
Sales and related occupations,-2.016750096264921,15582.0,14325.0,-8.067000385059684
Personal financial advisors,-2.041742286751361,551.0,506.0,-8.166969147005444
"Surveyors, cartographers, and photogrammetrists",-2.083333333333333,48.0,44.0,-8.333333333333332
"Hotel, motel, and resort desk clerks",-2.1551724137931036,116.0,106.0,-8.620689655172415
Plasterers and stucco masons,-2.1739130434782608,23.0,21.0,-8.695652173913043
Postal service mail carriers,-2.190332326283988,331.0,302.0,-8.761329305135952
First-line supervisors of housekeeping and janitorial workers,-2.2017045454545454,352.0,321.0,-8.806818181818182
Small engine mechanics,-2.2222222222222223,45.0,41.0,-8.88888888888889
"Farmers, ranchers, and other agricultural managers",-2.234927234927235,962.0,876.0,-8.93970893970894
"Drywall installers, ceiling tile installers, and tapers",-2.247191011235955,178.0,162.0,-8.98876404494382
Operations research analysts,-2.302631578947368,152.0,138.0,-9.210526315789473
First-line supervisors of food preparation and serving workers,-2.3031825795644894,597.0,542.0,-9.212730318257957
Sales and office occupations,-2.3157027270002994,33370.0,30279.0,-9.262810908001198
Sheet metal workers,-2.3214285714285716,140.0,127.0,-9.285714285714286
Air traffic controllers and airfield operations specialists,-2.3255813953488373,43.0,39.0,-9.30232558139535
"Office machine operators, except computer",-2.34375,32.0,29.0,-9.375
Locksmiths and safe repairers,-2.34375,32.0,29.0,-9.375
Laundry and dry-cleaning workers,-2.425373134328358,134.0,121.0,-9.701492537313433
Tour and travel guides,-2.459016393442623,61.0,55.0,-9.836065573770492
"Sales representatives, wholesale and manufacturing",-2.5175644028103044,1281.0,1152.0,-10.070257611241217
Producers and directors,-2.553763440860215,186.0,167.0,-10.21505376344086
Office and administrative support occupations,-2.5788408567092027,17789.0,15954.0,-10.31536342683681
Dining room and cafeteria attendants and bartender helpers,-2.5887573964497044,338.0,303.0,-10.355029585798817
Data entry keyers,-2.6,250.0,224.0,-10.4
