occupation,2019,2020,2021,2022,2023
"Installation, maintenance, and repair occupations",4862.0,4602.0,4840.0,4853.0,4881.0
Insulation workers,59.0,53.0,48.0,52.0,59.0
Insurance claims and policy processing clerks,269.0,236.0,257.0,314.0,308.0
Insurance sales agents,595.0,641.0,600.0,614.0,632.0
Insurance underwriters,105.0,102.0,128.0,105.0,108.0
Interior designers,,131.0,123.0,125.0,103.0
Interpreters and translators,,91.0,93.0,94.0,101.0
"Interviewers, except eligibility and loan",131.0,208.0,203.0,171.0,205.0
Janitors and building cleaners,2265.0,2043.0,2113.0,2183.0,2204.0
Jewelers and precious stone and metal workers,40.0,48.0,51.0,65.0,58.0
"Judges, magistrates, and other judicial workers",70.0,78.0,77.0,68.0,76.0
Judicial law clerks,7.0,21.0,24.0,21.0,19.0
"Laborers and freight, stock, and material movers, hand",2235.0,1995.0,2161.0,2244.0,2090.0
Landscape architects,,27.0,27.0,32.0,28.0
Landscaping and groundskeeping workers,,1066.0,1211.0,1213.0,1119.0
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",6.0,,,,
Laundry and dry-cleaning workers,134.0,120.0,116.0,115.0,121.0
Lawyers,1240.0,1183.0,1085.0,1141.0,1189.0
"Layout workers, metal and plastic",10.0,,,,
Legal occupations,1955.0,1882.0,1805.0,1861.0,1897.0
Legal secretaries and administrative assistants,,54.0,49.0,46.0,54.0
"Legal support workers, all other",,83.0,80.0,80.0,83.0
Legislators,19.0,25.0,21.0,14.0,12.0
Librarians,179.0,,,,
Librarians and media collections specialists,,176.0,158.0,168.0,146.0
"Library assistants, clerical",88.0,65.0,88.0,76.0,71.0
Library technicians,33.0,34.0,38.0,38.0,33.0
Licensed practical and licensed vocational nurses,687.0,596.0,533.0,588.0,584.0
"Life scientists, all other",2.0,6.0,8.0,13.0,8.0
"Life, physical, and social science occupations",1485.0,1627.0,1640.0,1840.0,1870.0
"Lifeguards and other recreational, and all other protective service workers",139.0,,,,
Loan interviewers and clerks,116.0,151.0,144.0,169.0,125.0
Locksmiths and safe repairers,32.0,28.0,30.0,19.0,29.0
Locomotive engineers and operators,42.0,55.0,39.0,52.0,44.0
Lodging managers,162.0,123.0,116.0,113.0,141.0
Logging workers,66.0,47.0,51.0,57.0,58.0
Logisticians,154.0,147.0,132.0,169.0,197.0
Machine feeders and offbearers,24.0,11.0,22.0,24.0,30.0
Machinists,375.0,290.0,323.0,313.0,307.0
Magnetic resonance imaging technologists,,57.0,47.0,52.0,46.0
Maids and housekeeping cleaners,1475.0,1163.0,1357.0,1364.0,1380.0
"Mail clerks and mail machine operators, except postal service",68.0,62.0,53.0,53.0,44.0
"Maintenance and repair workers, general",579.0,584.0,614.0,646.0,672.0
"Maintenance workers, machinery",21.0,24.0,29.0,19.0,22.0
Management analysts,950.0,997.0,1001.0,1045.0,1060.0
Management occupations,18985.0,18564.0,18986.0,20199.0,20906.0
"Management,  professional, and related occupations",,,64744.0,68099.0,
"Management, business, and financial operations occupations",26981.0,27143.0,27864.0,29350.0,30544.0
"Management, professional, and related occupations",64218.0,63644.0,,,70275.0
"Managers, all other",5299.0,4969.0,5235.0,5557.0,5666.0
Manicurists and pedicurists,,214.0,247.0,295.0,324.0
Manufactured building and mobile home installers,5.0,5.0,1.0,4.0,5.0
Marine engineers and naval architects,12.0,16.0,12.0,8.0,16.0
Market research analysts and marketing specialists,369.0,438.0,400.0,455.0,511.0
Marketing and sales managers,1184.0,,,,
Marketing managers,,554.0,576.0,656.0,567.0
Marriage and family therapists,,40.0,44.0,38.0,34.0
Massage therapists,183.0,151.0,166.0,149.0,145.0
"Material moving workers, all other",41.0,,,,
Materials engineers,44.0,53.0,43.0,48.0,54.0
Mathematicians,3.0,3.0,0.0,4.0,5.0
Mechanical engineers,351.0,357.0,354.0,403.0,433.0
"Media and communication equipment workers, all other",0.0,2.0,1.0,1.0,1.0
"Media and communication workers, all other",,19.0,30.0,28.0,30.0
Medical and health services managers,677.0,711.0,791.0,797.0,838.0
Medical assistants,596.0,561.0,561.0,541.0,593.0
Medical records and health information technicians,185.0,,,,
Medical records specialists,,183.0,207.0,193.0,211.0
Medical scientists,170.0,112.0,121.0,147.0,130.0
Medical secretaries and administrative assistants,,72.0,58.0,74.0,103.0
Medical transcriptionists,41.0,46.0,45.0,38.0,41.0
"Medical, dental, and ophthalmic laboratory technicians",91.0,,,,
"Meeting, convention, and event planners",146.0,118.0,116.0,159.0,169.0
Mental health and substance abuse social workers,,24.0,15.0,24.0,20.0
Mental health counselors,,138.0,212.0,195.0,219.0
Merchandise displayers and window trimmers,,24.0,27.0,29.0,28.0
"Metal furnace operators, tenders, pourers, and casters",23.0,21.0,17.0,18.0,16.0
"Metal workers and plastic workers, all other",392.0,,,,
"Meter readers, utilities",17.0,25.0,33.0,16.0,14.0
"Milling and planing machine setters, operators, and tenders, metal and plastic",5.0,,,,
Millwrights,52.0,57.0,48.0,40.0,42.0
Mine shuttle car operators,2.0,,,,
"Mining and geological engineers, including mining safety engineers",8.0,17.0,8.0,3.0,10.0
Mining machine operators,56.0,,,,
Miscellaneous agricultural workers,866.0,834.0,835.0,753.0,731.0
Miscellaneous assemblers and fabricators,1001.0,,,,
"Miscellaneous community and social service specialists, including health educators and community health workers",78.0,,,,
Miscellaneous construction and related workers,32.0,22.0,26.0,32.0,65.0
Miscellaneous entertainment attendants and related workers,210.0,,,,
Miscellaneous health technologists and technicians,152.0,185.0,177.0,146.0,146.0
"Miscellaneous healthcare support occupations, including medical equipment preparers",206.0,,,,
Miscellaneous legal support workers,193.0,,,,
"Miscellaneous life, physical, and social science technicians",152.0,,,,
Miscellaneous mathematical science occupations,22.0,,,,
Miscellaneous media and communication workers,118.0,,,,
Miscellaneous personal appearance workers,409.0,,,,
Miscellaneous plant and system operators,51.0,43.0,37.0,38.0,37.0
Miscellaneous social scientists and related workers,39.0,50.0,54.0,57.0,55.0
"Miscellaneous vehicle and mobile equipment mechanics, installers, and  repairers",73.0,,,,
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",,84.0,84.0,81.0,90.0
"Model makers and patternmakers, metal and plastic",5.0,8.0,1.0,0.0,4.0
"Model makers and patternmakers, wood",0.0,,,,
"Models, demonstrators, and product promoters",62.0,28.0,30.0,23.0,33.0
"Molders and molding machine setters, operators, and tenders, metal and plastic",45.0,35.0,29.0,20.0,29.0
"Molders, shapers, and casters, except metal and plastic",31.0,26.0,21.0,24.0,32.0
"Morticians, undertakers, and funeral arrangers",,19.0,30.0,36.0,45.0
"Morticians, undertakers, and funeral directors",26.0,,,,
Motion picture projectionists,1.0,,,,
"Motor vehicle operators, all other",66.0,143.0,163.0,193.0,212.0
"Multiple machine tool setters, operators, and tenders, metal and plastic",2.0,,,,
Music directors and composers,,50.0,52.0,45.0,46.0
Musicians and singers,,118.0,127.0,165.0,170.0
"Musicians, singers, and related workers",202.0,,,,
"Natural resources, construction, and maintenance occupations",14343.0,13357.0,13959.0,14260.0,14326.0
Natural sciences managers,15.0,16.0,21.0,28.0,39.0
Network and computer systems administrators,199.0,238.0,212.0,217.0,202.0
New accounts clerks,22.0,24.0,12.0,14.0,18.0
"News analysts, reporters and correspondents",93.0,,,,
"News analysts, reporters, and journalists",,77.0,79.0,88.0,65.0
Nonfarm animal caretakers,296.0,,,,
Nuclear engineers,8.0,10.0,11.0,11.0,3.0
Nuclear medicine technologists and medical dosimetrists,,35.0,39.0,28.0,42.0
Nuclear technicians,3.0,7.0,2.0,7.0,6.0
